currency,nodes,wallets,miners,transactions,interval,shards,average block time,block size per shard,messages,mode,tps,time taken for simulation,average block time per shard,wallets,transactions,total block size = block size per shard * number of shards
doge,1000,1000,1000,1000,0.01,16,58.36 seconds,4096,16496,sharded,1070.9,1 minute 50 seconds,17.75 seconds,1000,1000,65536
doge,1000,1000,1000,1000,0.01,32,56.39 seconds,4096,8504,sharded,2216.72,1 minute 27 seconds,14.78 seconds,1000,1000,131072
doge,1000,1000,1000,1000,0.01,64,70.14 seconds,4096,4508,sharded,3564.14,1 minute 16 seconds,12.65 seconds,1000,1000,262144
doge,1000,1000,1000,1000,0.01,128,48.52 seconds,4096,2510,sharded,10305.67,1 minute 10 seconds,11.04 seconds,1000,1000,524288
doge,1000,1000,1000,1000,0.01,256, 58.47 seconds,4096,1511,sharded,17101.65,1 minute 7 seconds,9.80 seconds,1000,1000,1048576
memo,1000,1000,1000,1000,0.01,0,2.33 seconds,4096,N/A,conventional,13386.61,2 minutes 24 seconds,N/A,1000,1000,4096
memo,1000,1000,1000,1000,0.01,2,5.14 seconds,4096,16048,sharded,12160.79,1 minute 49 seconds,2.18 seconds,1000,1000,8192
memo,1000,1000,1000,1000,0.01,4,2.65 seconds,4096,8056,sharded,47143.77,1 minute,1.57 seconds,1000,1000,16384
memo,1000,1000,1000,1000,0.01,8,2.97 seconds,4096,4060,sharded,77735.93,31 seconds,1.20 seconds,1000,1000,32768
memo,1000,1000,1000,1000,0.01,16,3.99 seconds,4096,2062,sharded,99964.06,26 seconds,0.97 seconds,1000,1000,65536
memo,1000,1000,1000,1000,0.01,32,2.96 seconds,4096,1063,sharded,99692.34,6 seconds,0.81 seconds,1000,1000,131072
